dataset,model,box_mean_precision,box_mean_recall,box_mean_f1,box_mAP@50,box_mAP@50-95,seg_mean_precision,seg_mean_recall,seg_mean_f1,seg_mAP@50,seg_mAP@50-95
nuclei,yolo12,0.3175,0.4890885750962773,0.3850429509853461,0.3183709272462098,0.1933123707972181,,,,,
nuclei,yoloe,0.4312617702448211,0.4409499358151476,0.436052046969216,0.4103352822419391,0.2220281163390746,0.3440050219711236,0.3517329910141206,0.3478260869565217,0.302099093360397,0.1127340629797035
nuclei,rtdetr,0.0,0.0,0.0,0.0,0.0,,,,,
nuclei,yolo8,0.50375,0.2586649550706033,0.3418150975402883,0.3621905881653824,0.2144913576936656,,,,,
nuclei,yolo9,0.4803001876172608,0.3286264441591784,0.3902439024390243,0.3695189793018334,0.2261760066805881,,,,,
nuclei,yolo10,0.4391891891891892,0.3337612323491656,0.3792851932895696,0.3534550129332478,0.2184380889959059,,,,,
nuclei,yolo11,0.4695717505634861,0.4011553273427471,0.432675666320526,0.4017907431320716,0.2419212329784339,,,,,
nuclei,yolo12,0.216287597867698,0.55198973042362,0.3107954079719837,0.2563957996902744,0.1217225215994249,,,,,
nuclei,yoloe,0.4421209858103062,0.37997432605905,0.4086986537797721,0.3745928838019904,0.221356938186298,0.3577296489917849,0.3074454428754813,0.3306869175008629,0.2872101858154828,0.1099228064869884
nuclei,yolow,0.5210608424336973,0.21437740693196405,0.30377444292860384,0.3455845242254665,0.22182171222344355,,,,,
